#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=3967611834686674718
#*** LG = 1 likelihood = -4393.5332
#marker_number	male_position	female_position	( 0.0 )[	phased data]
2	0.000	0.000	( 0 )	1111000000010010101100111011010001101110110100011101100100100100011111101100100010010000011011110000110000001000001101011110100110110101000011110101001100011000110110110000 0 0
3	0.000	1.177	( 0 )	1111000000010010101100111011010001101110110100011101100100100100011111101100100010010000011011110000110000001000001101011110100110110101000111110101001100011000110110110000 0 1
1	0.000	1.177	( 0 )	1111000000010010101100111011010001101110110100011101100100100100011111101100100010010000011011110000110000001000001101011110100110110101000111110101001100011000110110110000 0 0
4	1.177	1.177	( 0 )	1111000000010110101100111011010001101110110100011101100100100100011111101100100010010000011011110000110000001000001101011110100110110101000111110101001100011000110110110000 1 0
5	2.353	2.353	( 0 )	1111000000010110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110100110110101000111110101001100011000110110110000 1 1
7	2.353	2.353	( 0 )	1111000000010110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110100110110101000111110101001100011000110110110000 0 0
6	2.353	2.353	( 0 )	1111000000010110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110100110110101000111110101001100011000110110110000 0 0
11	3.530	3.530	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110101110110101000111110101001100011000110110110000 1 1
10	3.530	3.530	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110101110110101000111110101001100011000110110110000 0 0
9	3.530	3.530	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110101110110101000111110101001100011000110110110000 0 0
8	3.530	3.530	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110000100000001000001101011110101110110101000111110101001100011000110110110000 0 0
12	3.530	4.706	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000001000001101011110101110110101000111110101001100011000110110110000 0 1
13	3.530	4.706	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000001000001101011110101110110101000111110101001100011000110110110000 0 0
14	3.530	5.883	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000001000001101011110101110110101000111110101001100011000110110110001 0 1
15	3.530	5.883	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000001000001101011110101110110101000111110101001100011000110110110001 0 0
16	3.530	8.264	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000011000001101011110101100110101000111110101001100011000110110110001 0 2
17	3.530	10.645	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110101100110101000111110101001100011100110110110001 0 2
18	3.530	10.645	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110101100110101000111110101001100011100110110110001 0 0
19	3.530	10.645	( 0 )	1111000000110110101100111011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110101100110101000111110101001100011100110110110001 0 0
21	4.706	11.822	( 0 )	1111000000110110101100101011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110111100110101000111110101001100011100110110110001 1 1
22	4.706	11.822	( 0 )	1111000000110110101100101011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110111100110101000111110101001100011100110110110001 0 0
20	4.706	11.822	( 0 )	1111000000110110101100101011010001101110110100011101100100100100111111101100100010010000011011110100100000111000001101011110111100110101000111110101001100011100110110110001 0 0
24	5.883	11.822	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101011110111100110101000111110101001100011100110110110001 1 0
23	5.883	11.822	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101011110111100110101000111110101001100011100110110110001 0 0
27	5.883	12.998	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101001100011100110110110001 0 1
25	5.883	12.998	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101001100011100110110110001 0 0
28	5.883	12.998	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101001100011100110110110001 0 0
26	5.883	14.175	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101101100011100110110110001 0 1
30	5.883	14.175	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101101100011100110110110001 0 0
29	5.883	14.175	( 0 )	1111000000110110101100101011010001101110110100011101100100000100111111101100100010010000011011110100100000111000001101010110111100110101000111110101101100011100110110110001 0 0
34	8.264	17.791	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111100110101000111110101101111011100110110110001 2 3
32	8.264	17.791	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111100110101000111110101101111011100110110110001 0 0
33	8.264	17.791	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111100110101000111110101101111011100110110110001 0 0
31	8.264	17.791	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111100110101000111110101101111011100110110110001 0 0
37	8.264	20.172	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111000110101000111111101101111011100110110110001 0 2
38	8.264	20.172	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111000110101000111111101101111011100110110110001 0 0
35	8.264	20.172	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111000110101000111111101101111011100110110110001 0 0
36	8.264	20.172	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100100000111000001001010110111000110101000111111101101111011100110110110001 0 0
39	8.264	21.349	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101000111111101101111011100110110110001 0 1
40	8.264	21.349	( 0 )	1111000100110110101100101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101000111111101101111011100110110110001 0 0
41	10.645	21.349	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101000111111101101111011100110110110001 2 0
42	10.645	21.349	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101000111111101101111011100110110110001 0 0
54	10.645	22.525	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101010111111101101111011100110110110001 0 1
53	10.645	22.525	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
43	10.645	22.525	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
52	10.645	22.525	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
44	10.645	22.525	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011110100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
50	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 1
49	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
48	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
46	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
45	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
51	10.645	23.702	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000110101010111111101101111011100110110110001 0 0
47	10.645	24.879	( 0 )	1111000100110110101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000100101010111111101101111011100110110110001 0 1
60	13.027	24.879	( 0 )	1111000110110100101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111000001001010110111000100101010111111101101111011100110110110001 2 0
55	13.027	27.260	( 0 )	1111000110110100101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111001001001010110111000100101010111111101101111111100110110110001 0 2
57	13.027	27.260	( 0 )	1111000110110100101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111001001001010110111000100101010111111101101111111100110110110001 0 0
56	13.027	27.260	( 0 )	1111000110110100101111101011010001101110111100011101100100000100111111101100100010010000011011010100000000111001001001010110111000100101010111111101101111111100110110110001 0 0
59	14.203	27.260	( 0 )	1111000110110100101111101011010001101110111000011101100100000100111111101100100010010000011011010100000000111001001001010110111000100101010111111101101111111100110110110001 1 0
58	14.203	27.260	( 0 )	1111000110110100101111101011010001101110111000011101100100000100111111101100100010010000011011010100000000111001001001010110111000100101010111111101101111111100110110110001 0 0
62	17.819	29.641	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110110110001 3 2
64	17.819	29.641	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110110110001 0 0
61	17.819	29.641	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110110110001 0 0
63	17.819	29.641	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110110110001 0 0
66	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 1
77	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
69	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
67	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
76	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
71	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
74	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
73	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
72	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
75	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
70	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
68	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
65	17.819	30.818	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100010010000011011010100000000111101001001010110111000100111010111111101101111111100110111110001 0 0
82	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 1 2
79	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 0 0
83	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 0 0
78	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 0 0
81	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 0 0
80	18.996	33.199	( 0 )	1111000110110100111111101011010001101110111000011101100100010100111011101100100110010000011011010100000000111101001001010110111000100110010111111001101111111100110111110001 0 0
85	20.172	34.376	( 0 )	1111000010110100111111101011010001101110111000011101100100010100111011101100100110010000011011011100000000111101001001010110111000100110010111111001101111111100110111110001 1 1
