#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=-783625235484842569
#*** LG = 1 likelihood = -5477.7697
#marker_number	male_position	female_position	( 0.0 )[	phased data]
3	0.000	0.000	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101011110001011110010101010111110001011101110010110000100001010 0 0
4	0.000	0.000	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101011110001011110010101010111110001011101110010110000100001010 0 0
2	0.000	0.000	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101011110001011110010101010111110001011101110010110000100001010 0 0
1	0.000	0.000	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101011110001011110010101010111110001011101110010110000100001010 0 0
5	0.000	2.381	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 2
7	0.000	2.381	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
6	0.000	2.381	( 0 )	0001110111101111000011101101101001010000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
12	1.177	2.381	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 1 0
11	1.177	2.381	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
10	1.177	2.381	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
14	1.177	2.381	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000100110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
8	1.177	3.558	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000110110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 1
9	1.177	3.558	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101010010000110110101110100000110101010110001011100010101010111110001011101110010110000100001010 0 0
13	2.353	3.558	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100110110101000010000110110101110100000110101010110001011100010101010111110001011101110010110000100001010 1 0
29	4.734	4.734	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100011110101000010000110110101110100000110101010110001011100010101010111111001011101110010110000100001010 2 1
31	4.734	4.734	( 0 )	0001110111101111000011101101101001000000010100111101110001011110100100011110101000010000110110101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
21	5.911	4.734	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110110101110100000110101010110001011100010101010111111001011101110010110000100001010 1 0
19	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 1
20	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
18	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
16	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
22	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
15	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
23	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
17	5.911	5.911	( 0 )	0001110011101111000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100001010 0 0
30	7.088	7.088	( 0 )	0001110011101110000011101101101001000000010100111101110001011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100000010 1 1
34	8.264	7.088	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100000010 1 0
32	8.264	7.088	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100000010 0 0
35	8.264	7.088	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100000010 0 0
33	8.264	7.088	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110010101110100000110101010110001011100010101010111111001011101110010110000100000010 0 0
24	8.264	9.469	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110011101110100000111101010110001011100010101010111111001011101110010110000100000010 0 2
26	8.264	9.469	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110011101110100000111101010110001011100010101010111111001011101110010110000100000010 0 0
25	8.264	9.469	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110011101110100000111101010110001011100010101010111111001011101110010110000100000010 0 0
27	8.264	9.469	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110011101110100000111101010110001011100010101010111111001011101110010110000100000010 0 0
28	8.264	9.469	( 0 )	0001110011101110000011101101101001000000010100111101110011011110100100011110101000010000110011101110100000111101010110001011100010101010111111001011101110010110000100000010 0 0
38	10.645	11.850	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010000110011101110100000111101010111001010100010101010111111001011101110010110000100000010 2 2
39	10.645	11.850	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010000110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
36	10.645	11.850	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010000110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
37	10.645	11.850	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010000110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
47	10.645	13.027	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010010110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 1
48	10.645	13.027	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010010110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
45	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 1
46	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
42	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
40	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
41	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
43	10.645	14.203	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011101110010110000100000010 0 0
50	10.645	15.380	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011100110010110000100000010 0 1
44	10.645	15.380	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011100110010110000100000010 0 0
49	10.645	15.380	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011101110100000111101010111001010100010101010111111001011100110010110000100000010 0 0
52	10.645	17.761	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011111110100000111101010111001010100011101010111111001011100110010110000100000010 0 2
53	10.645	17.761	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011111110100000111101010111001010100011101010111111001011100110010110000100000010 0 0
51	10.645	18.938	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011111110100000111101010111001010100011101010111111001011100110010010000100000010 0 1
55	10.645	18.938	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011111110100000111101010111001010100011101010111111001011100110010010000100000010 0 0
54	10.645	18.938	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011110101000010011110011111110100000111101010111001010100011101010111111001011100110010010000100000010 0 0
57	11.822	18.938	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010000100000010 1 0
56	11.822	18.938	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010000100000010 0 0
61	11.822	20.114	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001100000010 0 1
60	11.822	20.114	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001100000010 0 0
58	11.822	20.114	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001100000010 0 0
59	11.822	20.114	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001100000010 0 0
64	11.822	21.291	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001101000010 0 1
62	11.822	21.291	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001101000010 0 0
63	11.822	21.291	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010111111001011100110010010001101000010 0 0
71	11.822	22.467	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010101111001011100110010010001101000010 0 1
67	11.822	22.467	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010101111001011100110010010001101000010 0 0
68	11.822	22.467	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010101111001011100110010010001101000010 0 0
65	11.822	22.467	( 0 )	0001110011101110000011101101100001000000010100111101110010011110100100011111101000010011110011111110100000111101010111001010100011101010101111001011100110010010001101000010 0 0
