#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=-8426132873296701745
#*** LG = 1 likelihood = -2675.0684
#marker_number	male_position	female_position	( 0.0 )[	phased data]
4	0.000	0.000	( 0 )	1100001101010001010111101110001001101010001111111001001111001110011110011011000110110011001110101010010000110011111001001111100010101000111100000001011011111101101110101110 0 0
2	1.177	1.177	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100010101000111100000000011011111101101110101110 1 1
1	1.177	1.177	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100010101000111100000000011011111101101110101110 0 0
12	1.177	2.353	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 1
11	1.177	2.353	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
8	1.177	2.353	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
9	1.177	2.353	( 0 )	1100001101010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
5	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 1 0
10	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
7	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
13	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
6	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
3	2.353	2.353	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011001110101010010000110011111001001111100000101000111100000000011011111101101110101110 0 0
15	2.353	4.734	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011011110101010010000110011111001001111100000101000111100000000011011111100101110101110 0 2
14	2.353	4.734	( 0 )	1100001001010001010111101110001001101010001111101001001111001110011110011011000110110011011110101010010000110011111001001111100000101000111100000000011011111100101110101110 0 0
17	3.530	8.350	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101000111100100000011011111100101110101110 1 3
16	3.530	8.350	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101000111100100000011011111100101110101110 0 0
18	3.530	8.350	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101000111100100000011011111100101110101110 0 0
19	3.530	8.350	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101000111100100000011011111100101110101110 0 0
21	3.530	9.527	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101001111100100000011011111100101110101110 0 1
20	3.530	9.527	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101001111100100000011011111100101110101110 0 0
22	3.530	9.527	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010000110011100001001111100000101001111100100000011011111100101110101110 0 0
24	3.530	10.704	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010100110011100001001111100000101001111100100000011011111100101110101110 0 1
30	3.530	10.704	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
35	3.530	10.704	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
31	3.530	10.704	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
23	3.530	10.704	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011110101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
27	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 1
29	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
33	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
36	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
32	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
34	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
26	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
25	3.530	11.880	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100001001111100000101001111100100000011011111100101110101110 0 0
28	3.530	13.057	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100011001111100000101001111100100000011011111100101110101110 0 1
37	3.530	14.233	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100011001111100000101001111101100000011011111100101110101110 0 1
38	3.530	14.233	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110011100011001111100000101001111101100000011011111100101110101110 0 0
39	3.530	19.115	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 4
43	3.530	19.115	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
44	3.530	19.115	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
40	3.530	19.115	( 0 )	1100001001010001010111101110001001101010001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
41	4.706	19.115	( 0 )	1100001001010001010111101110001001101110001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 1 0
42	4.706	19.115	( 0 )	1100001001010001010111101110001001101110001111101001000111001110011110011011000110110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
51	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 2 0
49	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
50	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
48	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
46	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
47	7.088	19.115	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001111100000001001111101100000001011111100101110101010 0 0
45	7.088	20.292	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001110100000001001111101100000001011111100101110101010 0 1
52	7.088	21.468	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111100101110101010 0 1
54	7.088	21.468	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111100101110101010 0 0
53	7.088	21.468	( 0 )	1100001001010001010111101110001001101110001110101001000111001110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111100101110101010 0 0
64	9.469	23.849	( 0 )	1100001001010001010011101110001001101110001110101001000111000110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 2 2
65	9.469	23.849	( 0 )	1100001001010001010011101110001001101110001110101001000111000110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
63	9.469	23.849	( 0 )	1100001001010001010011101110001001101110001110101001000111000110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
55	10.645	23.849	( 0 )	1000001001010001010011101110001001101110001110101001000111000110011110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 1 0
59	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 3 0
62	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
61	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
56	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
58	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
57	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
60	14.261	23.849	( 0 )	1000001001010001010011101110001001101010001110101011000111000110111110011011000010110011011111101010010100110111100011001110100000001001111101100010001011111010101110101010 0 0
67	16.643	28.731	( 0 )	1100001001010001010011101110001001101010001010101011000111000110111110011011000010110011011101101010010100110111000011001110100000001001011101100010000011111010101110101010 2 4
70	16.643	29.908	( 0 )	1100001001010001010011101110001001101010001010101011000111000110111110011011000010110011011101101010010100110111000011011110100000001001011101100010000011111010101110101010 0 1
68	16.643	29.908	( 0 )	1100001001010001010011101110001001101010001010101011000111000110111110011011000010110011011101101010010100110111000011011110100000001001011101100010000011111010101110101010 0 0
69	16.643	29.908	( 0 )	1100001001010001010011101110001001101010001010101011000111000110111110011011000010110011011101101010010100110111000011011110100000001001011101100010000011111010101110101010 0 0
66	16.643	33.524	( 0 )	1100001001010001010011101110001001101010001010101011000111000110111110011011000010110011011101101010110100110111000011011010100000001001011101100010000011111010101111101010 0 3
78	17.819	35.905	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110011011101101010110100110111000011011010100000001001011101100010100011111010001111101010 1 2
73	17.819	35.905	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110011011101101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
72	17.819	35.905	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110011011101101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
75	17.819	38.287	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100011111010001111101010 0 2
77	17.819	38.287	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
71	17.819	38.287	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
74	17.819	38.287	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
76	17.819	38.287	( 0 )	1100001001010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100011111010001111101010 0 0
79	18.996	39.463	( 0 )	1100001101010001010011101110001000101010001010101011000111000110111110011011000010110010011100101010110100110111000011011010100000001001011101100010100010111010001111101010 1 1
80	18.996	41.845	( 0 )	1100001101010001010011101110001000101010001010101011000111000110111110011011000010110011011100101010110100110111000011011010100000001011011101100010100010111010001111101010 0 2
81	22.612	41.845	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100110111000011011010100000001011011101100010100010111010001111101010 3 0
83	22.612	41.845	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100110111000011011010100000001011011101100010100010111010001111101010 0 0
82	22.612	41.845	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100110111000011011010100000001011011101100010100010111010001111101010 0 0
84	22.612	45.461	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100000111000011011010100000001111011101100010100010111010001111101010 0 3
85	22.612	45.461	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100000111000011011010100000001111011101100010100010111010001111101010 0 0
91	22.612	49.077	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100000111000011011000000000001111011101100010100010111010001111100010 0 3
89	22.612	49.077	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100000111000011011000000000001111011101100010100010111010001111100010 0 0
90	22.612	49.077	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011100101010110100000111000011011000000000001111011101100010100010111010001111100010 0 0
92	22.612	51.458	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111110011011000010110011011000101010110100000101000011011000000000001111011101100010100010111010001111100010 0 2
88	23.788	51.458	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111110011011000010110011011000101010110100000101000011011000000000001111011101100010100010111010001111100010 1 0
86	23.788	51.458	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111110011011000010110011011000101010110100000101000011011000000000001111011101100010100010111010001111100010 0 0
87	23.788	51.458	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111110011011000010110011011000101010110100000101000011011000000000001111011101100010100010111010001111100010 0 0
93	24.965	51.458	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111010011011000010110011011000101010110100000101000011011000000000001111011101100010100010111010001111100010 1 0
94	24.965	52.635	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111010011011000010110011011000101010110100001101000011011000000000001111011101100010100010111010001111100010 0 1
102	24.965	55.016	( 0 )	1100001000010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010111010001111100010 0 2
96	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 1 1
99	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
98	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
101	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
95	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
97	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
100	26.142	56.193	( 0 )	1100001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
103	27.318	56.193	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 1 0
104	27.318	56.193	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000101110110100001101000011011000000001001111011101100010100010011010001111100010 0 0
106	27.318	58.574	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011000010110011011000100110110100001101000011011000000001001111011101100010101010011010001111100010 0 2
110	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 1 4
111	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
107	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
114	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
112	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
113	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
115	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
109	28.495	63.456	( 0 )	1101001100010001000011101110001001101010001010101011000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011111100010 0 0
108	29.671	64.632	( 0 )	1101001100010001000011101110001001101010001010101001000111000110111010011011001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 1 1
122	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 4 0
120	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
119	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
123	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
121	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
117	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
116	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
118	34.553	64.632	( 0 )	1101011100010001000001101110001001101010001011101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
125	35.730	64.632	( 0 )	1101011100010001000001101110001001101010001010101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 1 0
124	35.730	64.632	( 0 )	1101011100010001000001101110001001101010001010101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 0 0
105	38.111	64.632	( 0 )	1001011000010001000001101110001001101010001010101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101100010101010011010011101100010 2 0
126	38.111	65.809	( 0 )	1001011000010001000001101110001001101010001010101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101110010101010011010011101100010 0 1
129	38.111	65.809	( 0 )	1001011000010001000001101110001001101010001010101001000111000110111010011010001010110011011000100110110100101101000010011000000001001111111101110010101010011010011101100010 0 0
