#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=-6759642590109148969
#*** LG = 1 likelihood = -2592.577
#marker_number	male_position	female_position	( 0.0 )[	phased data]
206	0.000	0.000	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001100100100110000101110011111000001001011001000000111000111100001011101110000000110010 0 0
208	0.000	2.381	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001100100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 2
207	0.000	2.381	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001100100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
205	1.177	2.381	( 0 )	1010011101010101111011100000000000100100000100010100011110000001011110110000011100001001100100100110000101110011111000001001011001001000111000111100101011101110000000110010 1 0
192	1.177	3.558	( 0 )	1010011101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 1
193	2.353	3.558	( 0 )	1010001101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 1 0
200	2.353	3.558	( 0 )	1010001101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
197	2.353	3.558	( 0 )	1010001101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
198	2.353	3.558	( 0 )	1010001101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
199	2.353	3.558	( 0 )	1010001101010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
202	3.530	3.558	( 0 )	1010001001010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 1 0
191	3.530	3.558	( 0 )	1010001001010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
201	3.530	3.558	( 0 )	1010001001010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
203	3.530	3.558	( 0 )	1010001001010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
204	3.530	3.558	( 0 )	1010001001010101111011100000000000100100000100010100011110000001011110110000011100001001101100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
195	4.706	4.734	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001111100100110000101110011111000001001011001001000111000111100101011101110000000110010 1 1
196	4.706	4.734	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001111100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
194	4.706	4.734	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001111100100110000101110011111000001001011001001000111000111100101011101110000000110010 0 0
188	4.706	5.911	( 0 )	1010011001010101111011100000000000100100000100010100011110000001011110110000011100001001111100100110000101110011111000001001011001001000111000111100101011101110000100110010 0 1
