#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=8817667292266511266
#*** LG = 1 likelihood = -1592.2376
#marker_number	male_position	female_position	( 0.0 )[	phased data]
1	0.000	0.000	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010110011100110010100000000000001000011001010100011111111000001001100 0 0
2	0.000	4.882	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100110000100000000000001000011001010100011111111001001001100 0 4
4	0.000	6.058	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 0 1
7	0.000	6.058	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 0 0
9	0.000	6.058	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 0 0
8	0.000	6.058	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 0 0
5	0.000	6.058	( 0 )	0000100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 0 0
6	1.177	6.058	( 0 )	0100100100010000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 1 0
3	2.353	6.058	( 0 )	0100100100000000000110001010000101101111010001010110101000001100001011110001111010110100001110011001011010010010100111000100000000000001000011001010100011111111001001001100 1 0
10	3.530	12.239	( 0 )	0100100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010100111000100001000000001000011000010100011110111011001011100 1 5
11	3.530	13.416	( 0 )	0100100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010100111000100001000000001000011000010100011110111011001111100 0 1
12	3.530	18.298	( 0 )	0100100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010111111000100001000000001000001100010100011110111011001111100 0 4
14	3.530	18.298	( 0 )	0100100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010111111000100001000000001000001100010100011110111011001111100 0 0
13	3.530	18.298	( 0 )	0100100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010111111000100001000000001000001100010100011110111011001111100 0 0
18	4.706	18.298	( 0 )	0000100100000000000110001010000101101111010000010110101000001100001011110001111010110100001110011001011010010010111111000100001000000001000001100010100011110111011001111100 1 0
