#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=-4984531970293556296
#*** LG = 1 likelihood = -3028.9704
#marker_number	male_position	female_position	( 0.0 )[	phased data]
183	0.000	0.000	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001010101011011010011010001101010001000000100001001011000000111001101111100011 0 0
182	0.000	0.000	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001010101011011010011010001101010001000000100001001011000000111001101111100011 0 0
184	0.000	0.000	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001010101011011010011010001101010001000000100001001011000000111001101111100011 0 0
185	0.000	0.000	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001010101011011010011010001101010001000000100001001011000000111001101111100011 0 0
186	0.000	1.177	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001010101011011010011010001101010011000000100001001011000000111001101111100011 0 1
196	0.000	6.058	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 4
198	0.000	6.058	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
197	0.000	6.058	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
193	0.000	6.058	( 0 )	0011010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
194	1.177	6.058	( 0 )	0010010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 1 0
190	1.177	6.058	( 0 )	0010010101001101010010001010001101111111001010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
189	2.353	6.058	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 1 0
195	2.353	6.058	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
200	2.353	6.058	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010101110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
199	2.353	7.235	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 1
192	2.353	7.235	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110011001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
203	2.353	8.411	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110011001011101011011010011100001001010011000000100001001011000000011001101111100011 0 1
211	2.353	8.411	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110011001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
212	2.353	8.411	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110011001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
207	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 1
204	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
210	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
209	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
206	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
205	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
201	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
208	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
202	2.353	9.588	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011100001001010011000000100001001011000000011001101111100011 0 0
187	2.353	10.765	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011000001001010011000000100001001011000000011001101111100011 0 1
188	2.353	10.765	( 0 )	0010010101001101010010001010001101111111000010000110011100001100000110001111001101010100110010001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
191	3.530	10.765	( 0 )	0010010101001101010010001010001101111111000010000110111100001100000110001111001101010100110010001011101011011010011000001001010011000000100001001011000000011001101111100011 1 0
181	4.706	11.941	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000110001111001101010100110000001011101011011010011000001001010011000000100001001011000000011001101111100011 1 1
179	4.706	11.941	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000110001111001101010100110000001011101011011010011000001001010011000000100001001011000000011001101111100011 0 0
180	5.883	11.941	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011101011011010011000001001010011000000100001001011000000011001101111100011 1 0
166	5.883	14.322	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011001011011010011000011001010011000000100001001011000000011001101111100011 0 2
163	5.883	14.322	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011001011011010011000011001010011000000100001001011000000011001101111100011 0 0
164	5.883	14.322	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011001011011010011000011001010011000000100001001011000000011001101111100011 0 0
165	5.883	14.322	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011001011011010011000011001010011000000100001001011000000011001101111100011 0 0
170	5.883	15.499	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101010100110000001011001011011010011000011001010011000000100001001011000000111001101111100011 0 1
172	7.059	16.676	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100011 1 1
173	7.059	16.676	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100011 0 0
174	7.059	16.676	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100011 0 0
175	7.059	16.676	( 0 )	0010010101001001010010001010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100011 0 0
171	8.236	17.852	( 0 )	0010010101001001010010101010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100111 1 1
169	9.412	17.852	( 0 )	0110010101001001010010101010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100111 1 0
176	9.412	17.852	( 0 )	0110010101001001010010101010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100111 0 0
168	9.412	17.852	( 0 )	0110010101001001010010101010001101111111000010000110111100001100000100001111001101000100110000001011001011010010011000011001010011000000100001001011000000111001101111100111 0 0
